1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),CANDIDATE NAME (Last),"CANDIDATE NAME (Last, First)",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",FOOTNOTES,
3287,New York,NY,14,H2NY14037,(I),Carolyn B.,Maloney,"Maloney, Carolyn B.",,,,,Combined Parties:,,,,107327,75.03%,,
3288,New York,NY,14,H2NY14037,(I),Carolyn B.,Maloney,"Maloney, Carolyn B.",,WF,Unopposed,,,,8374,5.85%,107327,75.03%,,
3289,New York,NY,14,H2NY14037,(I),Carolyn B.,Maloney,"Maloney, Carolyn B.",,DEM,33499,82.77%,,,98953,69.18%,107327,75.03%,,
3290,New York,NY,14,H0NY14189,,Reshma M.,Saujani,"Saujani, Reshma M.",,DEM,6799,16.80%,,,,,,,,
3291,New York,NY,14,n/a,,,Scattered,Scattered,,W(DEM),176,0.43%,,,,,,,,
3293,New York,NY,14,H0NY14205,,David Ryan,Brumberg,"Brumberg, David Ryan",,REP,4107,62.48%,,,32065,22.42%,,,,
3294,New York,NY,14,H0NY14197,,Dino L.,LaVerghetta,"LaVerghetta, Dino L.",,REP,1754,26.68%,,,,,,,,
3295,New York,NY,14,H0NY14213,,Roger S.,Blank,"Blank, Roger S.",,REP,680,10.35%,,,,,,,,
3296,New York,NY,14,n/a,,,Scattered,Scattered,,W(REP),32,0.49%,,,,,,,,
3298,New York,NY,14,H0NY14221,,Timothy J.,Healy,"Healy, Timothy J.",,CRV,Unopposed,,,,1891,1.32%,,,,
3299,New York,NY,14,H0NY14197,,Dino L.,LaVerghetta,"LaVerghetta, Dino L.",,IDP,Unopposed,,,,1617,1.13%,,,,
3300,New York,NY,14,n/a,,,Scattered,Scattered,,W ,,,,,142,0.10%,,,,
3303,New York,NY,15,H6NY19029,(I),Charles B.,Rangel,"Rangel, Charles B.",,,,,Combined Parties:,,,,91225,80.24%,,
3304,New York,NY,15,H6NY19029,(I),Charles B.,Rangel,"Rangel, Charles B.",,DEM,26101,51.11%,,,83633,73.56%,91225,80.24%,,
3305,New York,NY,15,H4NY15071,,Adam Clayton,Powell,"Powell, Adam Clayton",,DEM,11834,23.17%,,,,,,,,
3306,New York,NY,15,H0NY15129,,Joyce S.,Johnson,"Johnson, Joyce S.",,DEM,6444,12.62%,,,,,,,,
3307,New York,NY,15,H6NY15118,,Ruben D.,Vargas,"Vargas, Ruben D.",,DEM,2703,5.29%,,,,,,,,
3308,New York,NY,15,H0NY15137,,Jonathan,Tasini,"Tasini, Jonathan",,DEM,2634,5.16%,,,,,,,,
3309,New York,NY,15,H0NY15103,,Vincent S.,Morgan,"Morgan, Vincent S.",,DEM,1210,2.37%,,,,,,,,
3310,New York,NY,15,n/a,,,Scattered,Scattered,,W(DEM),142,0.28%,,,,,,,,
3312,New York,NY,15,H6NY19029,(I),Charles B.,Rangel,"Rangel, Charles B.",,WF,Unopposed,,,,7592,6.68%,91225,80.24%,,
3313,New York,NY,15,H0NY15111,,Michel J.,Faulkner,"Faulkner, Michel J.",,,,,Combined Parties:,,,,11754,10.34%,,
3314,New York,NY,15,H0NY15111,,Michel J.,Faulkner,"Faulkner, Michel J.",,REP,Unopposed,,,,10678,9.39%,11754,10.34%,,
3315,New York,NY,15,H0NY15111,,Michel J.,Faulkner,"Faulkner, Michel J.",,CRV,Unopposed,,,,1076,0.95%,11754,10.34%,,
3316,New York,NY,15,H0NY15111,,Michel J.,Faulkner,"Faulkner, Michel J.",,JNP,,,,,0,0.00%,11754,10.34%,,
3317,New York,NY,15,H8NY15122,,Craig,Schley,"Schley, Craig",,,,,Combined Parties:,,,,7803,6.86%,,
3318,New York,NY,15,H8NY15122,,Craig,Schley,"Schley, Craig",,IDP,Unopposed,,,,6865,6.04%,7803,6.86%,,
3319,New York,NY,15,H8NY15122,,Craig,Schley,"Schley, Craig",,VPC,,,,,938,0.83%,7803,6.86%,,
3320,New York,NY,15,H0NY15145,,Roger,Calero,"Calero, Roger",,SWP,,,,,2647,2.33%,,,,
3321,New York,NY,15,n/a,,,Scattered,Scattered,,W ,,,,,257,0.23%,,,,
3324,New York,NY,16,H0NY18065,(I),Jose E.,Serrano,"Serrano, Jose E.",,,,,Combined Parties:,,,,61642,95.66%,,
3325,New York,NY,16,H0NY18065,(I),Jose E.,Serrano,"Serrano, Jose E.",,DEM,Unopposed,,,,58478,90.75%,61642,95.66%,,
3326,New York,NY,16,H0NY18065,(I),Jose E.,Serrano,"Serrano, Jose E.",,WF,Unopposed,,,,3164,4.91%,61642,95.66%,,
3327,New York,NY,16,H0NY16119,,Frank,Della Valle,"Della Valle, Frank",,,,,Combined Parties:,,,,2758,4.28%,,
3328,New York,NY,16,H0NY16119,,Frank,Della Valle,"Della Valle, Frank",,REP,Unopposed,,,,2257,3.50%,2758,4.28%,,
3329,New York,NY,16,H0NY16119,,Frank,Della Valle,"Della Valle, Frank",,CRV,Unopposed,,,,501,0.78%,2758,4.28%,,
3330,New York,NY,16,n/a,,,Scattered,Scattered,,W ,,,,,38,0.06%,,,,
3333,New York,NY,17,H8NY19058,(I),Eliot L.,Engel,"Engel, Eliot L.",,,,,Combined Parties:,,,,95346,72.85%,,
3334,New York,NY,17,H8NY19058,(I),Eliot L.,Engel,"Engel, Eliot L.",,DEM,Unopposed,,,,89693,68.53%,95346,72.85%,,
3335,New York,NY,17,H8NY19058,(I),Eliot L.,Engel,"Engel, Eliot L.",,WF,Unopposed,,,,5653,4.32%,95346,72.85%,,
3336,New York,NY,17,H0NY17125,,Anthony,Mele,"Mele, Anthony",,REP,3730,51.07%,,,29792,22.76%,,,,
3337,New York,NY,17,H0NY17133,,York J.,Kleinhandler,"Kleinhandler, York J.",,REP,3573,48.93%,,,,,,,,
3339,New York,NY,17,H0NY17133,,York J.,Kleinhandler,"Kleinhandler, York J.",,CRV,Unopposed,,,,5661,4.33%,,,,
3340,New York,NY,17,n/a,,,Scattered,Scattered,,W ,,,,,82,0.06%,,,,
3343,New York,NY,18,H8NY20056,(I),Nita M.,Lowey,"Lowey, Nita M.",,,,,Combined Parties:,,,,115619,62.13%,,
3344,New York,NY,18,H8NY20056,(I),Nita M.,Lowey,"Lowey, Nita M.",,DEM,Unopposed,,,,104836,56.33%,115619,62.13%,,
3345,New York,NY,18,H8NY20056,(I),Nita M.,Lowey,"Lowey, Nita M.",,IDP,Unopposed,,,,5703,3.06%,115619,62.13%,,
3346,New York,NY,18,H8NY20056,(I),Nita M.,Lowey,"Lowey, Nita M.",,WF,Unopposed,,,,5080,2.73%,115619,62.13%,,
3347,New York,NY,18,H6NY18153,,Jim,Russell,"Russell, Jim",,,,,Combined Parties:,,,,70413,37.84%,,
3348,New York,NY,18,H6NY18153,,Jim,Russell,"Russell, Jim",,REP,Unopposed,,,,60513,32.52%,70413,37.84%,,
3349,New York,NY,18,H6NY18153,,Jim,Russell,"Russell, Jim",,CRV,Unopposed,,,,9900,5.32%,70413,37.84%,,
3350,New York,NY,18,n/a,,,Scattered,Scattered,,W ,,,,,67,0.04%,,,,
3353,New York,NY,19,H0NY19139,,Nan,Hayworth,"Hayworth, Nan",,,,,Combined Parties:,,,,109956,52.55%,,
3354,New York,NY,19,H0NY19139,,Nan,Hayworth,"Hayworth, Nan",,REP,19483,69.34%,,,88734,42.41%,109956,52.55%,,
3355,New York,NY,19,H0NY19154,,Neil A.,DiCarlo,"DiCarlo, Neil A.",,REP,8614,30.66%,,,,,,,,
3357,New York,NY,19,H0NY19139,,Nan,Hayworth,"Hayworth, Nan",,CRV,Unopposed,,,,15778,7.54%,109956,52.55%,,
3358,New York,NY,19,H0NY19139,,Nan,Hayworth,"Hayworth, Nan",,IDP,Unopposed,,,,5444,2.60%,109956,52.55%,,
3359,New York,NY,19,H6NY19144,(I),John J.,Hall,"Hall, John J.",,,,,Combined Parties:,,,,98766,47.20%,,
3360,New York,NY,19,H6NY19144,(I),John J.,Hall,"Hall, John J.",,DEM,Unopposed,,,,91797,43.87%,98766,47.20%,,
3361,New York,NY,19,H6NY19144,(I),John J.,Hall,"Hall, John J.",,WF,Unopposed,,,,6969,3.33%,98766,47.20%,,
3362,New York,NY,19,n/a,,,Scattered,Scattered,,W ,,,,,516,0.25%,,,,
3365,New York,NY,20,H0NY20095,,Christopher P.,Gibson,"Gibson, Christopher P.",,,,,Combined Parties:,,,,130176,54.85%,,
3366,New York,NY,20,H0NY20095,,Christopher P.,Gibson,"Gibson, Christopher P.",,REP,Unopposed,,,,110813,46.69%,130176,54.85%,,
3367,New York,NY,20,H0NY20095,,Christopher P.,Gibson,"Gibson, Christopher P.",,CRV,Unopposed,,,,19363,8.16%,130176,54.85%,,
3368,New York,NY,20,H0NY20079,(I),Scott,Murphy,"Murphy, Scott",,,,,Combined Parties:,,,,107077,45.11%,,
3369,New York,NY,20,H0NY20079,(I),Scott,Murphy,"Murphy, Scott",,DEM,Unopposed,,,,91577,38.58%,107077,45.11%,,
3370,New York,NY,20,H0NY20079,(I),Scott,Murphy,"Murphy, Scott",,IDP,Unopposed,,,,8858,3.73%,107077,45.11%,,
3371,New York,NY,20,H0NY20079,(I),Scott,Murphy,"Murphy, Scott",,WF,Unopposed,,,,6642,2.80%,107077,45.11%,,
3372,New York,NY,20,n/a,,,Scattered,Scattered,,W ,,,,,99,0.04%,,,,
3375,New York,NY,21,H8NY21203,(I),Paul D.,Tonko,"Tonko, Paul D.",,,,,Combined Parties:,,,,124889,59.25%,,
3376,New York,NY,21,H8NY21203,(I),Paul D.,Tonko,"Tonko, Paul D.",,DEM,Unopposed,,,,107136,50.83%,124889,59.25%,,
3377,New York,NY,21,H8NY21203,(I),Paul D.,Tonko,"Tonko, Paul D.",,IDP,Unopposed,,,,9625,4.57%,124889,59.25%,,
3378,New York,NY,21,H8NY21203,(I),Paul D.,Tonko,"Tonko, Paul D.",,WF,Unopposed,,,,8128,3.86%,124889,59.25%,,
3379,New York,NY,21,H0NY21077,,"Theodore J., Jr.",Danz,"Danz, Theodore J., Jr.",,,,,Combined Parties:,,,,85752,40.68%,,
3380,New York,NY,21,H0NY21077,,"Theodore J., Jr.",Danz,"Danz, Theodore J., Jr.",,REP,Unopposed,,,,70211,33.31%,85752,40.68%,,
3381,New York,NY,21,H0NY21077,,"Theodore J., Jr.",Danz,"Danz, Theodore J., Jr.",,CRV,Unopposed,,,,15541,7.37%,85752,40.68%,,
3382,New York,NY,21,n/a,,,Scattered,Scattered,,W ,,,,,150,0.07%,,,,
3385,New York,NY,22,H2NY26080,(I),Maurice D.,Hinchey,"Hinchey, Maurice D.",,,,,Combined Parties:,,,,98661,52.64%,,
3386,New York,NY,22,H2NY26080,(I),Maurice D.,Hinchey,"Hinchey, Maurice D.",,DEM,Unopposed,,,,83849,44.74%,98661,52.64%,,
3387,New York,NY,22,H2NY26080,(I),Maurice D.,Hinchey,"Hinchey, Maurice D.",,WF,Unopposed,,,,8886,4.74%,98661,52.64%,,
3388,New York,NY,22,H2NY26080,(I),Maurice D.,Hinchey,"Hinchey, Maurice D.",,IDP,Unopposed,,,,5926,3.16%,98661,52.64%,,
3389,New York,NY,22,H8NY22102,,George K.,Phillips,"Phillips, George K.",,,,,Combined Parties:,,,,88687,47.32%,,
3390,New York,NY,22,H8NY22102,,George K.,Phillips,"Phillips, George K.",,REP,Unopposed,,,,75558,40.31%,88687,47.32%,,
3391,New York,NY,22,H8NY22102,,George K.,Phillips,"Phillips, George K.",,CRV,Unopposed,,,,13129,7.01%,88687,47.32%,,
3392,New York,NY,22,n/a,,,Scattered,Scattered,,W ,,,,,73,0.04%,,,,
3395,New York,NY,23,H0NY23081,(I),William L.,Owens,"Owens, William L.",,,,,Combined Parties:,,,,82232,47.51%,,
3396,New York,NY,23,H0NY23081,(I),William L.,Owens,"Owens, William L.",,DEM,Unopposed,,,,75849,43.82%,82232,47.51%,,
3397,New York,NY,23,H0NY23081,(I),William L.,Owens,"Owens, William L.",,WF,Unopposed,,,,6383,3.69%,82232,47.51%,,
3398,New York,NY,23,H0NY23057,,Matthew A.,Doheny,"Doheny, Matthew A.",,,,,Combined Parties:,,,,80237,46.36%,,
3399,New York,NY,23,H0NY23057,,Matthew A.,Doheny,"Doheny, Matthew A.",,REP,16311,51.02%,,,73646,42.55%,80237,46.36%,,
3400,New York,NY,23,H0NY23107,,Douglas L.,Hoffman,"Hoffman, Douglas L.",,REP,15660,48.98%,,,,,,,,
3402,New York,NY,23,H0NY23057,,Matthew A.,Doheny,"Doheny, Matthew A.",,IDP,Unopposed,,,,6591,3.81%,80237,46.36%,,
3403,New York,NY,23,H0NY23107,,Douglas L.,Hoffman,"Hoffman, Douglas L.",,CRV,Unopposed,,,,10507,6.07%,,,,
3404,New York,NY,23,n/a,,,Scattered,Scattered,,W ,,,,,115,0.07%,,,,
3407,New York,NY,24,H8NY24066,,Richard L.,Hanna,"Hanna, Richard L.",,,,,Combined Parties:,,,,101599,53.00%,,
3408,New York,NY,24,H8NY24066,,Richard L.,Hanna,"Hanna, Richard L.",,REP,Unopposed,,,,85702,44.71%,101599,53.00%,,
3409,New York,NY,24,H8NY24066,,Richard L.,Hanna,"Hanna, Richard L.",,CRV,Unopposed,,,,10313,5.38%,101599,53.00%,,
3410,New York,NY,24,H8NY24066,,Richard L.,Hanna,"Hanna, Richard L.",,IDP,Unopposed,,,,5584,2.91%,101599,53.00%,,
3411,New York,NY,24,H6NY24128,(I),Michael A.,Arcuri,"Arcuri, Michael A.",,,,,Combined Parties:,,,,89809,46.85%,,
3412,New York,NY,24,H6NY24128,(I),Michael A.,Arcuri,"Arcuri, Michael A.",,DEM,Unopposed,,,,85624,44.67%,89809,46.85%,,
3413,New York,NY,24,H6NY24128,(I),Michael A.,Arcuri,"Arcuri, Michael A.",,MOD,,,,,4185,2.18%,89809,46.85%,,
3414,New York,NY,24,n/a,,,Scattered,Scattered,,W,,,,,292,0.15%,,,,
3417,New York,NY,25,H0NY25078,,Ann Marie,Buerkle,"Buerkle, Ann Marie",,,,,Combined Parties: ,,,,104602,50.11%,,
3418,New York,NY,25,H0NY25078,,Ann Marie,Buerkle,"Buerkle, Ann Marie",,REP,Unopposed,,,,81380,38.99%,104602,50.11%,,
3419,New York,NY,25,H0NY25078,,Ann Marie,Buerkle,"Buerkle, Ann Marie",,CRV,Unopposed,,,,16830,8.06%,104602,50.11%,,
3420,New York,NY,25,H0NY25078,,Ann Marie,Buerkle,"Buerkle, Ann Marie",,IDP,Unopposed,,,,6392,3.06%,104602,50.11%,,
3421,New York,NY,25,H6NY25125,(I),Daniel B.,Maffei,"Maffei, Daniel B.",,,,,Combined Parties: ,,,,103954,49.80%,,
3422,New York,NY,25,H6NY25125,(I),Daniel B.,Maffei,"Maffei, Daniel B.",,DEM,Unopposed,,,,95146,45.58%,103954,49.80%,,
3423,New York,NY,25,H6NY25125,(I),Daniel B.,Maffei,"Maffei, Daniel B.",,WF,Unopposed,,,,8808,4.22%,103954,49.80%,,
3424,New York,NY,25,n/a,,,Scattered,Scattered,,W ,,,,,178,0.09%,,,,
3427,New York,NY,26,H8NY26095,(I),Christopher J.,Lee,"Lee, Christopher J.",,,,,Combined Parties:,,,,151449,73.59%,,
3428,New York,NY,26,H8NY26095,(I),Christopher J.,Lee,"Lee, Christopher J.",,REP,Unopposed,,,,121371,58.97%,151449,73.59%,,
3429,New York,NY,26,H8NY26095,(I),Christopher J.,Lee,"Lee, Christopher J.",,CRV,Unopposed,,,,19368,9.41%,151449,73.59%,,
3430,New York,NY,26,H8NY26095,(I),Christopher J.,Lee,"Lee, Christopher J.",,IDP,Unopposed,,,,10710,5.20%,151449,73.59%,,
3431,New York,NY,26,H0NY26050,,Philip A.,Fedele,"Fedele, Philip A.",,DEM,Unopposed,,,,54307,26.39%,,,,
3432,New York,NY,26,n/a,,,Scattered,Scattered,,W,,,,,49,0.02%,,,,
3435,New York,NY,27,H4NY27076,(I),Brian,Higgins,"Higgins, Brian",,,,,Combined Parties,,,,119085,60.94%,,
3436,New York,NY,27,H4NY27076,(I),Brian,Higgins,"Higgins, Brian",,DEM,Unopposed,,,,106644,54.57%,119085,60.94%,,
3437,New York,NY,27,H4NY27076,(I),Brian,Higgins,"Higgins, Brian",,WF,Unopposed,,,,12441,6.37%,119085,60.94%,,
3438,New York,NY,27,H0NY27066,,Leonard A.,Roberto,"Roberto, Leonard A.",,,,,Combined Parties:,,,,76320,39.06%,,
3439,New York,NY,27,H0NY27066,,Leonard A.,Roberto,"Roberto, Leonard A.",,REP,Unopposed,,,,63015,32.25%,76320,39.06%,,
3440,New York,NY,27,H0NY27066,,Leonard A.,Roberto,"Roberto, Leonard A.",,CRV/TX,Unopposed,,,,13305,6.81%,76320,39.06%,,
3441,New York,NY,27,n/a,,,Scattered,Scattered,,W ,,,,,10,0.01%,,,,
3444,New York,NY,28,H6NY03031,(I),Louise M.,Slaughter,"Slaughter, Louise M.",,,,,Combined Parties:,,,,102514,64.90%,,
3445,New York,NY,28,H6NY03031,(I),Louise M.,Slaughter,"Slaughter, Louise M.",,DEM,Unopposed,,,,91103,57.68%,102514,64.90%,,
3446,New York,NY,28,H6NY03031,(I),Louise M.,Slaughter,"Slaughter, Louise M.",,IDP,Unopposed,,,,5976,3.78%,102514,64.90%,,
3447,New York,NY,28,H6NY03031,(I),Louise M.,Slaughter,"Slaughter, Louise M.",,WF,Unopposed,,,,5435,3.44%,102514,64.90%,,
3448,New York,NY,28,H0NY28122,,Jill A. ,Rowland,"Rowland, Jill A. ",,,,,Combined Parties:,,,,55392,35.07%,,
3449,New York,NY,28,H0NY28122,,Jill A. ,Rowland,"Rowland, Jill A. ",,REP,Unopposed,,,,45630,28.89%,55392,35.07%,,
3450,New York,NY,28,H0NY28122,,Jill A. ,Rowland,"Rowland, Jill A. ",,CRV,Unopposed,,,,9762,6.18%,55392,35.07%,,
3451,New York,NY,28,n/a,,,Scattered,Scattered,,W ,,,,,41,0.03%,,,,
3454,New York,NY,29,n/a,FULL TERM,,,,,,,,,,,,,,,
3455,New York,NY,29,H0NY29054,,"Thomas W., II",Reed,"Reed, Thomas W., II",,,,,Combined Parties:,,,,112314,56.46%,,
3456,New York,NY,29,H0NY29054,,"Thomas W., II",Reed,"Reed, Thomas W., II",,REP,Unopposed,,,,93167,46.83%,112314,56.46%,,
3457,New York,NY,29,H0NY29054,,"Thomas W., II",Reed,"Reed, Thomas W., II",,CRV,Unopposed,,,,13505,6.79%,112314,56.46%,,
3458,New York,NY,29,H0NY29054,,"Thomas W., II",Reed,"Reed, Thomas W., II",,IDP,,,,,5642,2.84%,112314,56.46%,,
3459,New York,NY,29,H0NY29062,,Matthew C.,Zeller,"Zeller, Matthew C.",,,,,Combined Parties:,,,,86099,43.28%,,
3460,New York,NY,29,H0NY29062,,Matthew C.,Zeller,"Zeller, Matthew C.",,DEM,Unopposed,,,,79558,39.99%,86099,43.28%,,
3461,New York,NY,29,H0NY29062,,Matthew C.,Zeller,"Zeller, Matthew C.",,WF,Unopposed,,,,6541,3.29%,86099,43.28%,,
3462,New York,NY,29,n/a,,,Scattered,Scattered,,W ,,,,,527,0.26%,,,,
3514,North Carolina,NC,1,H4NC01046,(I),G. K.,Butterfield,"Butterfield, G. K.",,DEM,46509,72.93%,,,103294,59.31%,,,,
3515,North Carolina,NC,1,H0NC01051,,Chad,Larkins,"Larkins, Chad",,DEM,17262,27.07%,,,,,,,,
3517,North Carolina,NC,1,H0NC01069,,Ashley,Woolard,"Woolard, Ashley",,REP,3774,45.24%,,,70867,40.69%,,,,
3518,North Carolina,NC,1,H0NC07116,,Jerry,Grimes,"Grimes, Jerry",,REP,2220,26.61%,,,,,,,,
3519,North Carolina,NC,1,H0NC01085,,Jim,Miller,"Miller, Jim",,REP,1252,15.01%,,,,,,,,
3520,North Carolina,NC,1,H0NC01077,,John,Carter,"Carter, John",,REP,1097,13.15%,,,,,,,,
3524,North Carolina,NC,2,H0NC02059,,Renee,Ellmers,"Ellmers, Renee",,REP,9171,55.11%,,,93876,49.47%,,,,
3525,North Carolina,NC,2,H0NC02042,,Frank,Deatrich,"Deatrich, Frank",,REP,4280,25.72%,,,,,,,,
3526,North Carolina,NC,2,H0NC02067,,Todd,Gailas,"Gailas, Todd",,REP,3190,19.17%,,,,,,,,
3528,North Carolina,NC,2,H6NC02080,(I),Bob,Etheridge,"Etheridge, Bob",,DEM,Unopposed,,,,92393,48.69%,,,,
3529,North Carolina,NC,2,H0NC02075,,Tom,Rose,"Rose, Tom",,LIB,Unopposed,,,,3505,1.85%,,,,
3532,North Carolina,NC,3,H2NC01081,(I),Walter B.,Jones,"Jones, Walter B.",,REP,21551,76.88%,,,143225,71.86%,,,,
3533,North Carolina,NC,3,H0NC03115,,Bob,Cavanaugh,"Cavanaugh, Bob",,REP,4221,15.06%,,,,,,,,
3534,North Carolina,NC,3,H6NC03120,,Craig,Weber,"Weber, Craig",,REP,2261,8.07%,,,,,,,,
3536,North Carolina,NC,3,H0NC03099,,Johnny G.,Rouse,"Rouse, Johnny G.",,DEM,Unopposed,,,,51317,25.75%,,,,
3537,North Carolina,NC,3,H0NC03107,,Darryl,Holloman,"Holloman, Darryl",,LIB,Unopposed,,,,4762,2.39%,,,,
3540,North Carolina,NC,4,H6NC04037,(I),David,Price,"Price, David",,DEM,Unopposed,,,,155384,57.16%,,,,
3541,North Carolina,NC,4,H8NC04074,,William (B.J.),Lawson,"Lawson, William (B.J.)",,REP,10449,45.99%,,,116448,42.84%,,,,
3542,North Carolina,NC,4,H0NC04147,,Frank,Roche,"Roche, Frank",,REP,9228,40.61%,,,,,,,,
3543,North Carolina,NC,4,H0NC04154,,David,Burnett,"Burnett, David",,REP,1967,8.66%,,,,,,,,
3544,North Carolina,NC,4,H0NC04139,,George,Hutchins,"Hutchins, George",,REP,1077,4.74%,,,,,,,,
3548,North Carolina,NC,5,H4NC05146,(I),Virginia,Foxx,"Foxx, Virginia",,REP,38174,79.84%,,,140525,65.89%,,,,
3549,North Carolina,NC,5,H0NC05151,,Keith,Gardner,"Gardner, Keith",,REP,9639,20.16%,,,,,,,,
3551,North Carolina,NC,5,H0NC00012,,Billy,Kennedy,"Kennedy, Billy",,DEM,Unopposed,,,,72762,34.11%,,,,
3554,North Carolina,NC,6,H4NC06011,(I),Howard,Coble,"Coble, Howard",,REP,31663,63.48%,,,156252,75.21%,,,,
3555,North Carolina,NC,6,H0NC06142,,Billy,Yow,"Yow, Billy",,REP,7929,15.90%,,,,,,,,
3556,North Carolina,NC,6,H0NC06126,,James,Taylor,"Taylor, James",,REP,7553,15.14%,,,,,,,,
3557,North Carolina,NC,6,H0NC06167,,Cathy Brewer,Hinson,"Hinson, Cathy Brewer",,REP,1468,2.94%,,,,,,,,
3558,North Carolina,NC,6,H0NC06175,,Jeff,Phillips,"Phillips, Jeff",,REP,1095,2.20%,,,,,,,,
3559,North Carolina,NC,6,H0NC06159,,Jon,Mangin,"Mangin, Jon",,REP,168,0.34%,,,,,,,,
3561,North Carolina,NC,6,H0NC06134,,Sam,Turner,"Turner, Sam",,DEM,Unopposed,,,,51507,24.79%,,,,
3564,North Carolina,NC,7,H8NC07044,(I),Mike,McIntyre,"McIntyre, Mike",,DEM,Unopposed,,,,113957,53.68%,,,,
3565,North Carolina,NC,7,H0NC07108,,Ilario Gregory,Pantano,"Pantano, Ilario Gregory",,REP,17177,51.02%,,,98328,46.32%,,,,
3566,North Carolina,NC,7,H8NC07085,,Will,Breazeale,"Breazeale, Will",,REP,11629,34.54%,,,,,,,,
3567,North Carolina,NC,7,H0NC07124,,Randy,Crow,"Crow, Randy",,REP,4862,14.44%,,,,,,,,
3571,North Carolina,NC,8,H6NC08111,(I),Larry,Kissell,"Kissell, Larry",,DEM,24541,62.70%,,,88776,53.02%,,,,
3572,North Carolina,NC,8,H0NC08205,,Nancy,Shakir,"Shakir, Nancy",,DEM,14600,37.30%,,,,,,,,
3574,North Carolina,NC,8,H0NC08197,,Harold,Johnson,"Johnson, Harold",,REP,8567,33.07%,9261,60.97%,73129,43.67%,,,,
3575,North Carolina,NC,8,H0NC08163,,Tim,D'Annunzio,"D'Annunzio, Tim",,REP,9548,36.85%,5928,39.03%,,,,,,
3576,North Carolina,NC,8,H0NC08171,,Hal,Jordan,"Jordan, Hal",,REP,4757,18.36%,,,,,,,,
3577,North Carolina,NC,8,H0NC08155,,Lou,Huddleston,"Huddleston, Lou",,REP,2141,8.26%,,,,,,,,
3578,North Carolina,NC,8,H0NC08213,,Lee,Cornelison,"Cornelison, Lee",,REP,466,1.80%,,,,,,,,
3579,North Carolina,NC,8,H0NC08130,,Darrell,Day,"Day, Darrell",,REP,428,1.65%,,,,,,,,
3581,North Carolina,NC,8,H0NC08221,,Thomas,Hill,"Hill, Thomas",,LIB,Unopposed,,,,5098,3.04%,,,,
3582,North Carolina,NC,8,H0NC08239,,Anthony W.,Graves,"Graves, Anthony W.",,W,,,,,240,0.14%,,,,
3583,North Carolina,NC,8,n/a,,,Scattered,Scattered,,W,,,,,199,0.12%,,,,
3586,North Carolina,NC,9,H4NC09106,(I),Sue,Myrick,"Myrick, Sue",,REP,Unopposed,,,,158790,68.97%,,,,
3587,North Carolina,NC,9,H0NC09138,,Jeff,Doctor,"Doctor, Jeff",,DEM,Unopposed,,,,71450,31.03%,,,,
3590,North Carolina,NC,10,H4NC10047,(I),Patrick,McHenry,"McHenry, Patrick",,REP,27657,63.09%,,,130813,71.18%,,,,
3591,North Carolina,NC,10,H0NC10169,,Vance,Patterson,"Patterson, Vance",,REP,11392,25.99%,,,,,,,,
3592,North Carolina,NC,10,H0NC10151,,Scott,Keadle,"Keadle, Scott",,REP,3604,8.22%,,,,,,,,
3593,North Carolina,NC,10,H0NC10185,,David Michael,Boldon,"Boldon, David Michael",,REP,1181,2.69%,,,,,,,,
3595,North Carolina,NC,10,H0NC10177,,Jeff,Gregory,"Gregory, Jeff",,DEM,9621,50.91%,,,52972,28.82%,,,,
3596,North Carolina,NC,10,H4NC10088,,Anne N.,Fischer,"Fischer, Anne N.",,DEM,9277,49.09%,,,,,,,,
3600,North Carolina,NC,11,H6NC11172,(I),Heath,Shuler,"Shuler, Heath",,DEM,26223,61.37%,,,131225,54.34%,,,,
3601,North Carolina,NC,11,H0NC11134,,Aixa,Wilson,"Wilson, Aixa",,DEM,16507,38.63%,,,,,,,,
3603,North Carolina,NC,11,H0NC11118,,Jeff,Miller,"Miller, Jeff",,REP,14059,40.25%,,,110246,45.66%,,,,
3604,North Carolina,NC,11,H0NC11084,,Dan,Eichenbaum,"Eichenbaum, Dan",,REP,11949,34.21%,,,,,,,,
3605,North Carolina,NC,11,H0NC11100,,Gregory A.,Newman,"Newman, Gregory A.",,REP,4103,11.75%,,,,,,,,
3606,North Carolina,NC,11,H0NC11092,,Kenny,West,"West, Kenny",,REP,2777,7.95%,,,,,,,,
3607,North Carolina,NC,11,H0NC11142,,Ed,Krause,"Krause, Ed",,REP,1254,3.59%,,,,,,,,
3608,North Carolina,NC,11,H0NC11126,,James (Jake),Howard,"Howard, James (Jake)",,REP,791,2.26%,,,,,,,,
3612,North Carolina,NC,12,H2NC12021,(I),Mel,Watt,"Watt, Mel",,DEM,Unopposed,,,,103495,63.88%,,,,
3613,North Carolina,NC,12,H0NC12108,,Greg,Dority,"Dority, Greg",,REP,4787,34.32%,1449,51.73%,55315,34.14%,,,,
3614,North Carolina,NC,12,H0NC12090,,Scott,Cumbie,"Cumbie, Scott",,REP,5506,39.47%,1352,48.27%,,,,,,
